slide,timeBug1Found,timeBug2Found,...
0
1,00:01:14.207=1.00
2
3,-----------------
4
5,-----------------
6
7,00:00:33.799=1.00,-----------------,-----------------
8
9,00:08:21.610=0.50,00:01:27.785=1.00,00:02:42.164=1.00
10
11,00:13:30.331=1.00,-----------------,-----------------
12
13,00:03:35.545=1.00,00:05:22.472=1.00,-----------------
14
15,-----------------,-----------------,00:03:35.776=1.00
16
17,00:05:50.339=1.00,-----------------,00:02:07.438=1.00
