slide,timeBug1Found,timeBug2Found,...
0
1,-----------------
2
3,-----------------
4
5,-----------------
6
7,-----------------,-----------------,-----------------
8
9,00:10:22.356=0.50,00:02:16.412=1.00,00:01:42.661=1.00
10
11,00:11:36.120=1.00,-----------------,-----------------
12
13,00:03:57.668=1.00,00:05:34.876=1.00,-----------------
14
15,00:07:49.050=1.00,00:05:12.251=1.00,00:01:56.611=1.00
16
17,00:03:37.316=1.00,-----------------,00:00:03.408=1.00
