slide,timeBug1Found,timeBug2Found,...
0
1,00:00:41.002=1.00
2
3,00:00:18.704=1.00
4
5,-----------------
6
7,00:00:43.315=1.00,00:01:35.489=1.00,-----------------
8
9,-----------------,00:03:41.172=1.00,00:06:19.602=1.00
10
11,00:07:40.684=1.00,-----------------,-----------------
12
13,00:02:15.238=1.00,00:03:22.086=0.50,00:06:02.417=1.00
14
15,-----------------,-----------------,-----------------
16
17,-----------------,-----------------,00:02:02.631=1.00
18
19,-----------------,-----------------,00:12:56.187=0.50
20
21,00:10:08.076=1.00,00:04:03.329=1.00,-----------------
22
23,-----------------,-----------------,00:01:34.625=1.00
24
