slide,timeBug1Found,timeBug2Found,...
0
1,00:01:07.300=0.50
2
3,00:00:38.627=1.00
4
5,-----------------
6
7,00:05:08.675=1.00,00:01:23.848=0.50,00:03:23.621=1.00
8
9,-----------------,00:01:45.497=1.00,00:06:52.863=1.00
10
11,00:01:15.040=1.00,-----------------,-----------------
12
13,00:00:43.377=1.00,00:02:57.493=1.00,00:04:34.848=1.00
14
15,-----------------,-----------------,-----------------
16
17,-----------------,-----------------,00:01:31.310=1.00
18
19,-----------------,-----------------,-----------------
20
21,00:00:26.314=0.50,00:00:54.018=1.00,-----------------
22
23,00:03:21.133=1.00,-----------------,00:02:17.870=0.50
24
