slide,timeBug1Found,timeBug2Found,...
0
1,00:01:13.097=0.50
2
3,-----------------
4
5,00:14:13.415=0.50
6
7,00:00:24.033=1.00,00:01:02.363=1.00,00:01:03.660=1.00
8
9,-----------------,00:02:00.678=1.00,00:02:03.053=1.00
10
11,00:20:59.354=1.00,-----------------,-----------------
12
13,00:06:30.477=1.00,00:06:47.368=1.00,-----------------
14
15,-----------------,00:00:19.121=1.00,-----------------
16
17,-----------------,-----------------,00:14:03.436=0.50
18
19,-----------------,-----------------,-----------------
20
21,00:17:20.482=1.00,00:16:30.464=1.00,00:08:38.349=1.00
22
23,00:21:55.039=1.00,-----------------,00:09:30.289=1.00
24
