slide,timeBug1Found,timeBug2Found,...
0
1,00:00:57.097=0.50
2
3,00:01:17.082=1.00
4
5,00:00:38.595=1.00
6
7,00:00:40.509=1.00,00:04:01.803=1.00,00:04:48.915=1.00
8
9,-----------------,00:01:57.329=1.00,00:02:40.206=1.00
10
11,00:01:59.919=1.00,-----------------,-----------------
12
13,-----------------,00:01:29.677=1.00,00:01:37.271=1.00
14
15,-----------------,00:08:46.174=0.50,-----------------
16
17,-----------------,-----------------,00:00:39.837=0.50
18
19,-----------------,-----------------,-----------------
20
21,00:06:46.957=1.00,00:05:36.678=1.00,00:04:24.613=1.00
22
23,00:05:25.938=1.00,-----------------,00:01:14.459=1.00
24
