slide,timeBug1Found,timeBug2Found,...
0
1,-----------------
2
3,00:01:58.334=1.00
4
5,00:01:10.363=0.50
6
7,00:00:12.913=0.50,00:01:25.887=1.00,00:01:54.497=1.00
8
9,-----------------,00:02:47.102=1.00,00:08:34.403=1.00
10
11,00:00:26.438=1.00,-----------------,-----------------
12
13,00:02:04.376=1.00,00:01:53.000=1.00,00:03:51.037=1.00
14
15,-----------------,-----------------,00:03:31.480=1.00
16
17,-----------------,-----------------,-----------------
18
19,00:00:43.443=1.00,-----------------,-----------------
20
21,00:00:22.704=1.00,00:00:49.487=1.00,00:02:05.791=1.00
22
23,-----------------,-----------------,-----------------
24
