slide,timeBug1Found,timeBug2Found,...
0
1,00:03:15.009=0.50
2
3,00:01:50.993=1.00
4
5,00:00:25.501=1.00
6
7,00:03:01.765=1.00,00:01:10.035=1.00,00:01:18.754=1.00
8
9,00:07:13.441=0.50,00:01:12.909=1.00,-----------------
10
11,00:01:55.850=1.00,-----------------,-----------------
12
13,00:00:59.463=1.00,00:00:57.197=1.00,-----------------
14
15,-----------------,-----------------,00:03:48.886=1.00
16
17,-----------------,-----------------,00:00:51.627=1.00
18
19,00:00:42.886=1.00,00:02:19.398=1.00,-----------------
20
21,00:02:17.822=1.00,00:02:37.886=1.00,00:02:54.980=1.00
22
23,-----------------,-----------------,-----------------
