slide,timeBug1Found,timeBug2Found,...
0
1,00:02:36.996=0.50
2
3,00:02:05.853=1.00
4
5,00:01:58.858=0.50
6
7,00:00:45.216=1.00,-----------------,00:01:49.203=1.00
8
9,-----------------,00:04:38.571=0.50,-----------------
10
11,00:15:07.759=1.00,-----------------,00:15:31.487=1.00
12
13,-----------------,00:04:18.056=1.00,00:01:57.448=1.00
14
15,00:02:14.924=1.00,00:02:13.187=1.00,-----------------
16
17,-----------------,-----------------,00:05:38.160=0.50
18
19,-----------------,-----------------,-----------------
20
21,00:04:24.010=0.50,00:00:31.377=1.00,00:00:14.884=1.00
