slide,timeBug1Found,timeBug2Found,...
0
1,00:02:29.455=0.50
2
3,00:01:49.309=1.00
4
5,00:00:39.933=1.00
6
7,00:02:30.929=1.00,00:00:30.689=1.00,00:00:56.049=1.00
8
9,-----------------,00:01:23.300=1.00,-----------------
10
11,00:12:18.797=1.00,-----------------,00:04:01.633=1.00
12
13,-----------------,00:06:39.806=1.00,00:02:09.453=1.00
14
15,00:02:32.853=1.00,00:01:17.144=1.00,-----------------
16
17,-----------------,-----------------,00:01:02.077=1.00
18
19,-----------------,00:02:20.155=1.00,-----------------
